0,4580,0,5954.6,0,0,0,0,4402.6,0,0,0,0,0,0,4672.8,4477.9,6562.6,0,4364.1,9225.2,0
0,4417.2,0,5757.1,0,0,0,0,4586.1,0,0,0,0,0,0,4648.6,4560.3,6872.4,0,4323.1,8768.6,0
0,6377.6,0,7367.9,0,0,0,0,6570.2,0,0,0,0,0,0,6402.2,6319.2,8804.7,0,6207.9,10728,0
0,7292.4,0,8076.6,0,0,0,0,6416.6,0,0,0,0,0,0,7010.8,7059.3,12330,0,6958.6,12267,0
0,6117.9,0,6691.8,0,0,0,0,4371.9,0,0,0,0,0,0,5235.5,5940.3,11641,0,5746,12518,0
0,5658.9,0,5955.3,0,0,0,0,4106.3,0,0,0,0,0,0,4888.4,5044.5,8391.4,0,5013.7,9963.1,0
0,4666,0,5871.9,0,0,0,0,4218.2,0,0,0,0,0,0,4720.6,4845.5,7024.8,0,4407.3,8918.5,0
0,4309.3,0,5419.4,0,0,0,0,4087.2,0,0,0,0,0,0,4383.4,4521.2,6327,0,4286.2,8492.6,0
0,4221.6,0,5053.7,0,0,0,0,4130.1,0,0,0,0,0,0,4387.4,4373,6178.5,0,4086.1,7752.1,0
0,4217.8,0,5042.5,0,0,0,0,4061.1,0,0,0,0,0,0,4280.1,4292,5888,0,4083.3,7587.4,0
0,4146.2,0,4881.8,0,0,0,0,4006.2,0,0,0,0,4752.4,0,4254.4,4086.2,5723.9,0,4110,7517.7,0
0,4195.8,0,4950.5,0,0,0,0,4136,0,0,0,0,4678.6,0,4252.6,4086.2,5661,0,3980.3,7439.5,0
0,5948.6,0,6603.3,0,0,0,0,5938.9,0,0,0,0,6735.3,0,6194.9,5889.7,7678.3,0,5859.6,9061.2,0
0,6676.4,0,7251,0,0,0,0,5944.1,0,0,0,0,7081.7,0,6380.3,6467.9,10742,0,6456,11080,0
0,5459.4,0,5855.9,0,0,0,0,4145,0,0,0,0,4810.2,0,4659.9,4889.4,9482.7,0,5074.1,10155,0
0,4870.4,0,5577.6,0,0,0,0,3860.9,0,0,0,0,4752.6,0,4570.8,4391.5,7553,0,4363.4,8637.4,0
0,4267.3,0,5047.5,0,0,0,0,3933.6,0,0,0,0,4796.3,0,4393.3,4323.1,6088.3,0,4154.2,7571.7,0
0,4062.2,0,4783.6,0,0,0,0,3983.8,0,0,0,0,4527.1,0,4161.6,4127.7,5658.5,0,3976.6,6913.9,0
0,3974.3,0,4643.7,0,0,0,0,3902.6,0,0,0,0,4522.8,0,4149.5,4043.8,5424.8,0,3876.7,6534.8,0
0,3936.4,0,4608.2,0,0,0,0,3735.8,0,0,0,0,4526.9,0,4018,3818.7,5016.9,0,3801.7,6454.3,0
0,3771.4,0,4463.3,0,4264.1,0,4136.6,3806.9,0,0,0,0,4293.4,0,3999.4,3719.5,4762.4,0,3746.1,6595.1,0
0,3714.8,0,4327.4,0,4210.5,0,4017.1,3824.3,0,0,0,0,4227.2,0,3915.6,3831.3,4873.3,0,3748.1,6187.6,0
0,5598.2,0,6356.6,0,5885.6,0,5942.1,5716.6,5469.5,0,0,0,6309.3,0,5756.3,5605.2,6635,0,5523.2,8078.6,0
0,6221.3,0,6909.4,0,6267.6,0,6483.5,5643.3,6233.7,0,0,0,6532.9,0,6329.4,5905.1,8564.6,0,5884.5,9636.5,0
0,4923.2,0,5076.1,0,4669.2,0,4642,3763.9,4548.8,0,0,0,4531.1,0,4622.3,4348.9,7332.1,0,4480.5,8787.4,0
0,4661.1,0,4586.7,0,4271.4,0,4441,3493.1,4075.2,0,0,0,4599.8,0,4215.2,3976.9,5843.7,0,4220.8,7263.3,0
0,3973.7,0,4471.8,0,4056.3,0,4054.2,3569.2,3749.2,0,0,0,4271.5,0,3940.3,3761.2,5269.8,0,3826,7050.1,0
0,3682.1,0,4414.6,0,4119.2,0,3998.3,3580.9,3656.1,0,0,0,4311.5,0,3949.4,3773.1,4726.1,0,3716.6,6528.1,0
0,3577.4,0,4202.5,0,3953.9,0,3886.5,3566,3600.5,0,0,0,4278.5,0,3849.8,3684.1,4598.8,0,3631.3,6021.8,0
0,3571.8,0,4124.5,0,3949.5,0,3824.8,3641.5,3565.7,0,0,0,4325.5,0,3843.4,3685.5,4437.8,0,3681.3,6060.4,0
0,3485.6,0,4120.8,0,3858,0,3799.5,3602.2,3487.2,0,0,0,4072.5,0,3728.3,3566,4325.1,0,3553.7,5911.9,0
0,3479.6,0,4146.3,0,3911.3,0,3702.2,3531.5,3476.4,0,0,3764.7,4169.7,0,3585.5,3617.5,4386.2,0,3510.8,5737.8,0
0,5389.2,0,5896.8,0,5627.1,0,5633.4,5546.8,5224.6,0,0,5627.9,6230.7,0,5352,5352.9,6168.4,0,5328.3,7593.8,0
6199.1,5834.4,5821.2,6432.8,6164.8,6044.8,5958.4,6182.5,5489.9,5624.7,5723.9,6052.9,6122.3,6335.5,6190.1,5860.8,5741.4,7561.1,6115.3,5742.1,8535.3,6021.8
