0,4708.2,0,0,0,0,4661.5,0,4797.9,0,5414.2,0,10426,0,0,4724.9,0,6018.4,0,6740,4815.7,0,0,5090.8,5647.7,0,5526.5,5403.3,7447.2,4389.6,9441.4,7091.4
0,4708.7,0,0,0,0,4749,0,4738.5,0,5488.2,0,9614.9,0,0,4886.1,0,5864,0,6619.9,4953.5,0,0,5105.1,5511.6,0,5519,5409,7373.2,4646.3,10371,6726.6
0,6463.6,0,0,0,0,6487,0,6525.2,0,7127.4,0,11712,0,0,6706.8,0,7718.7,0,7984.6,6532.5,0,0,6645.4,7197.6,0,7010.5,7080.8,8784.2,6182.8,11162,8132.2
0,7565.7,0,0,0,0,7847.4,9540.2,7283.4,0,7877.4,0,13362,0,0,8100.8,0,10743,0,9683.9,7290.1,0,0,7429.6,8715.2,0,8111,8315.4,11523,7442.3,14474,9790.1
0,6226.7,0,0,0,0,6396.9,8345.3,5737.4,0,6598.8,0,12621,0,0,6939,0,10130,0,7974.1,6292.7,0,0,6016.1,8502,0,7164.4,7337.9,10868,5984.1,13012,9149.4
0,5678.6,0,0,0,0,5566,6577.9,5161.9,0,5611.9,0,10085,0,0,5947.7,0,7182.5,0,7143.9,5299.7,0,0,5423.7,7025.8,0,6163.7,6009.6,9024.5,5472.9,12388,7792.3
0,4799.2,0,0,0,0,4912.4,5841.4,4872,0,5341.4,6598.2,9181.3,0,0,5195.6,0,6292,0,6384.4,4977.1,0,0,5151.4,6185.9,0,5710.4,5529.4,7619.3,4885.3,10864,6628.4
0,4589.4,0,0,0,0,4456.6,5551.7,4576.6,0,5141.8,6036.7,9057.6,0,0,4788.6,0,5611.7,0,5905.3,4647.3,0,0,4782.7,5519.6,0,5291.7,5150.7,7289.7,4573.6,9659.2,6071.5
0,4481,0,0,0,0,4525.6,5471.2,4443.2,0,4976.9,5742.1,8469.1,0,0,4583.7,0,5419.3,0,5722.2,4582.3,0,0,4758.2,5294.7,0,5090.4,5124.3,6509.6,4276.9,9588.5,6078.2
0,4451.3,0,0,0,0,4351.7,5463.8,4370.8,0,4974.4,5836.1,7953.2,0,0,4479.6,0,5498.4,0,5693.8,4487.2,0,0,4621.6,5009.2,0,4862.3,4994.9,6277.4,4090.9,8823.1,5863.6
0,4287.3,0,0,0,0,4217.9,5231.1,4336.2,0,4741.7,5657.7,7976.4,0,0,4377.6,0,5442.8,0,5570.1,4400.3,0,0,4636.9,4844.1,0,4873.6,4860,6018.3,4017.5,7893.7,5769.7
0,4299.2,0,0,0,0,4093.7,5235.7,4197.3,0,4786.7,5558.1,7585.4,0,0,4376.3,0,5280.1,0,5431.3,4341.2,0,0,4521.9,4843.6,0,4810,4761.9,5983,4088.8,7729.3,5520.6
6144.7,6124.7,0,0,0,0,5899.4,7245.5,6026.3,0,6427.1,7180.2,9167.6,0,0,6249.3,0,6660.2,0,7024.5,6095.6,0,0,6105.7,6477.8,6421.6,6435.4,6419.3,7922.9,5812.6,9155.4,7189.9
0,6872,0,0,0,0,6740,7704.1,6991.1,0,7156.6,8261.8,10424,0,0,7088.3,0,9064.5,0,7962.4,6968.1,0,0,6803.5,7647.7,7200.5,7433.7,6910.9,9141.1,7022.9,12109,8814.5
0,5663.8,0,0,0,0,5228.5,6334.5,5296.8,0,5551.2,6638.8,9105.9,0,0,5520,0,7638.1,0,6965.4,5391.1,0,0,5213.2,6728.4,5884.2,5955.1,6236.8,8770.7,5268.3,12624,7831.3
4616.1,4783.6,0,0,0,0,4811.9,5632.5,4992,0,5182.6,5925.4,8369.3,0,0,5020.7,0,6658.7,0,5890.2,4837.1,0,0,4715.5,5673,5269,5505.3,5277,7204.1,5191.4,11196,6613.8
4283.2,4347.3,0,0,0,0,4205.8,5177.9,4345.6,0,4753.9,5457.8,7562.1,0,0,4516.7,0,5543,0,5544.7,4426.3,0,0,4534.4,5074.1,4657.9,5114.2,4787.9,6288,4274.9,8994,5904.6
4126.9,4360.6,0,0,0,0,3965.1,4911.2,3978.4,0,4580.6,5265.3,7033.2,0,0,4453.4,0,5113.3,0,5307.2,4200.6,0,0,4372.6,4894.7,4411.1,4674.8,4718.9,5975.4,4007.9,8435.6,5292.2
4054.2,4086.8,0,0,0,0,3982.5,4866.6,4058.2,0,4453.1,4998,6820.1,0,0,4245,0,4922.1,0,5074.7,4177.8,0,0,4341.8,4582.1,4319.2,4560.9,4684.9,5613.3,3984.2,7908,5237.1
