7841.2,0,6849.1,0,0,12878,6238.6,11826,5573.2,0,0,7516.6,10541,7637.9,5690.9,0,8451.6,9383.7,9462.1,8800.4,8041.3,7137.3,0,8591.5,0,0,7072.7,0
7404.3,0,6753.5,8978.9,0,11874,6286.2,11721,5480.5,0,0,7513.8,10809,7391.4,5798.7,0,8277.2,8656.8,9006.6,8278.4,7939.7,6897,0,8407.7,0,0,6586.3,0
7343.4,0,6581.8,8649.8,0,11753,6187.3,11465,5331.3,0,0,7316.6,10147,7308.1,5744.9,0,7967.6,8403.5,8835.2,8249.4,7568,6860.1,0,8350.4,0,0,6614.2,0
10975,0,10087,13788,0,13399,9507.5,11235,8050.7,0,0,10500,13841,12396,8987.7,0,10637,12427,13645,12149,11766,10857,0,11423,0,0,9335.6,0
12687,0,11399,13555,0,13004,10998,9317.4,9095.2,0,0,10455,13757,12153,9663.7,0,11023,12907,14285,13162,13289,11858,0,12798,0,0,10284,0
11005,0,9507.6,13130,0,12101,9940.5,7646.5,7413.5,0,0,8820.9,13075,11140,8173,0,9648.3,12225,13103,11957,13059,10060,0,11322,0,0,8210.8,0
8891.7,0,8355.6,11348,0,11716,8216.1,8238.8,6259.2,0,0,7483.1,11770,8865.2,6844.6,0,8395.4,9568,10741,9938.4,10832,8345.2,0,9799.8,0,0,7476.8,0
8047.3,0,7163.5,9823.1,0,11269,7515.3,8369.1,5629.6,0,0,6711.9,10006,7555.2,5635,0,7619.6,8446.8,8966,9080.3,8063.7,7206.1,0,8456.1,0,0,6885.4,0
7169.9,0,6412.3,7802.3,0,10564,6721.3,8963.7,5260.9,0,0,6235.3,9473.2,6993.6,5356.8,0,7038.7,7492.6,8690,7916.3,7241.5,6523,0,7777.7,0,0,6318.3,0
9779.7,0,9424.6,11165,0,12440,9182.9,9335.6,7656.1,0,0,8740,12830,9758.9,7889.2,0,9418.7,11140,11083,10581,10574,9095.6,0,11295,0,0,8802.2,0
11223,0,10505,13190,0,12398,10246,8417.6,8215.3,0,0,9447.8,13461,11241,8493.8,0,9766.3,12941,13006,11672,11725,10765,0,11819,0,0,9860.8,0
9906.4,0,8956.6,12443,0,11470,8877.3,7322.4,6515.9,8247.5,0,7298.4,11593,9620.2,6956.2,0,8164,11247,11616,10169,11134,9308.3,0,9592.7,0,0,7765.9,0
8537.6,0,7574.4,10328,0,10892,6805.1,7242.2,5672.6,6869.9,0,6260.8,10895,7457.6,5928,0,7201,9144.6,9711.2,8344.5,8910.9,8263.9,0,8373.4,0,0,6630.1,0
7450.4,0,5968.4,8916.3,0,9973.2,5995.1,7521.4,5182.6,5580.5,0,5898.1,9257.7,6774.8,5156.5,0,6701.6,7251.3,8455.7,7225,7232.9,6453.8,0,7303,0,0,6035.3,0
6769.6,0,5664.9,7445.6,0,9410.7,5692.3,7493.3,5050.2,5366.4,0,5689.8,8681.9,6385.3,4952.1,0,6411.3,6797.9,7728.9,6735.4,7147.3,6270.5,0,6864.6,0,0,5790.7,0
9809,0,8538,10454,0,11864,7748.3,8166.2,7182.3,7845.1,0,8624.6,11754,9161.8,7145.8,7161.7,8413.6,9787.7,10675,9371.4,9874.2,8215.3,0,9668.3,0,0,7737.4,8180.2
11046,0,10365,11320,0,12062,8580.3,7771.5,7993.8,8295.2,0,9300.8,12862,11317,7771.4,8182,9436.6,11707,11687,10292,10815,10256,0,11002,0,0,8492.5,8877.6
8818.6,0,8800.5,10967,0,11056,6990.2,6375.5,6330.2,7335.2,0,7001.5,11225,8415.7,6073,6164.8,7269.5,10307,9910.7,8965,9889.6,9098.9,0,9754.7,0,0,6925.8,8525.4
7717.3,0,6965.1,9178,0,10162,6249.7,6579.2,5626.3,6334.9,0,6100.5,9427.7,7199.4,5600.3,5474.9,6854,7458.1,8842.7,7655.2,7842.5,6782.3,0,7378.4,0,0,6293.9,6949.7
6861.7,0,5845.9,7723.1,0,9221.3,5502.1,6922.1,5056.4,5279.1,0,5709.7,8353.3,6120.2,4946.4,4914.4,6476.3,6282.7,7820.9,6646.2,6564,5948.4,0,6908.6,0,0,5990.8,5932.8
6260.7,0,5389.6,6615.4,0,8805.1,5120.9,7162,4620,4908.1,0,5467.7,7664.6,6124.2,4691.8,4431.1,5874.8,5807.8,7094.9,6493.6,6137.3,5662.5,0,6376.4,0,0,5374.4,5342.6
8681.8,0,8025.3,10487,7927.9,11831,7545.6,8140.9,7013,7339.6,0,8153.5,10613,8689.4,7402.6,6730.5,8400.6,9504.1,10284,8707.1,9139.8,8009.5,8231.6,9489.9,7777.5,7026.2,7553,7689.1
9496.2,9322.3,10022,11287,8390.3,11816,8197,7750.3,7761.1,8068.2,8846.7,8414.1,10888,9701.2,7841.6,7533.1,8544.4,10752,12077,9464.9,10332,8812.4,8642.2,10250,8138.9,7622.8,7733.1,9030.5
8344.1,7515.2,8156,10054,6882.8,10229,6578.7,7447.7,6443.5,6778.9,7582.3,6581.5,9724.4,8097.2,6135.1,6166.6,6760.6,8942.4,9362.5,8398.2,8946,7233.8,8140.2,8663.6,6707.1,6053.6,6491.9,7716.3
7070.7,6432.7,6476.7,8444.7,5525,9329.4,5529.4,6827.5,5073.2,5468.6,6171.2,5514.5,8300.3,6876,5304.6,5163.6,6250.1,7351.6,7306.6,6718,7320.2,6196.6,6181.9,7352.9,5695.1,5094.2,5829,6445.7
6332.8,5402.4,5709.3,6635.8,5022.1,8283.8,5019,6873.6,4596.1,4835.5,5141,5213.1,7514.8,6394.5,4604,4516.2,5940.5,6161.3,6614.2,6270,6288.8,5385.7,5623.1,6494.2,4912.5,4549.1,5286.9,5445
