0,4048,4397.2,0,3698.7,3971.8,3926.6,0,4381.8,0,4009.6,0,0,3792.4,4018.5,3885.9,0,5671.9,4297.9,3887.5,4438.6
0,4015,4393.4,0,3687.4,3950,3958.1,0,4457.8,0,3890.1,0,0,3816.6,3814.7,3909,0,5867.6,4066.9,3837.8,4414.6
0,3953.8,4319.6,0,3641,3966.1,3791.5,0,4298.3,0,3957.4,0,0,3773.8,3894.6,3731.6,0,5718.3,4017.4,3881.5,4165.5
0,3913.9,4357.5,0,3647.4,3911.1,3856.7,0,4191.1,0,3940.5,0,0,3863.2,3961.4,3946.4,0,5458.8,4065.2,3846.1,4345.8
0,3935.2,4138.8,0,3560.8,3859.6,3850.6,0,4293.4,0,3814.9,0,0,3763,3837.1,3841.6,0,5407.8,4065.8,3714.9,4241.6
0,3857.5,4306.8,0,3526.7,3845.2,3914.2,0,4091.9,0,3778.7,0,0,3768.2,3829.3,3740.5,0,5520,4080.4,3654.5,4197.3
0,3820.2,4202.2,0,3567.3,3842.6,3722.8,0,4184.2,0,3888.6,0,0,3797.2,3995,3668.1,0,5288.6,3882,3690.6,4169.9
0,3946.9,4009.9,0,3617.2,3875.5,3884.3,0,4351.3,0,3883.5,0,0,3723.9,3923.1,3780.1,0,5509.2,3957,3784.2,4197.3
0,3872.1,4171.1,0,3607.7,3843,3864.6,0,4262.5,0,3870.4,0,0,3701.3,3911,3753.1,0,5499.6,4026.6,3808.7,4408.4
0,3855.2,4302.9,0,3580,3884.9,3786.3,0,4136.5,0,3876.3,0,0,3670.2,3896.3,3725.1,0,5576.8,3913.8,3757.6,4484.8
0,3900,4186.4,0,3643.1,3888.3,3804,0,4273.7,0,3979.8,0,0,3609.6,3915.2,3829.2,0,5777.2,3977.4,3720,4238.2
0,3745,4127,0,3520.3,3856.2,3783.4,0,4175.6,0,3842.9,0,0,3612.3,3814.5,3665.7,0,5422.1,3984.8,3677.6,4332.9
0,3786.9,3867,0,3574.1,3883.3,3783.9,0,3927.2,0,3771.2,0,0,3618.9,3771.3,3642.3,0,5395.2,3918.1,3712.3,4140.6
0,3742.5,4029.8,0,3528.6,3753.7,3791.6,0,3990.8,0,3808.9,0,0,3644.4,3632,3666.1,0,5290.4,3732.6,3572.5,4088.4
0,3767.2,4057.6,0,3572.7,3748.6,3760.2,0,4084.7,0,3685.5,0,0,3581.6,3675.9,3700.2,0,5493.9,3820.5,3660.3,4029.3
3593.3,3745.4,3945.3,0,3545.8,3788.6,3746.2,0,4009,0,3727.1,0,0,3684.8,3882.7,3626.6,0,5402.4,3922,3799.9,4124.6
3430.4,3766.9,4108.1,0,3508.2,3736.9,3762.1,3643.9,4158.8,0,3716,0,0,3556.7,3769.8,3662.3,3556.9,5325.4,4009.4,3664.4,3977.4
3493.8,3658.3,3882.9,0,3634.1,3785.4,3698.6,3584,4151.8,0,3663.1,0,0,3658.2,3808.8,3623.5,3622,5159.9,3938.3,3695.8,4063.7
3462.4,3725.6,3842.5,0,3690.3,3883.5,3770.9,3595.3,4146.5,0,3748.2,0,0,3690.5,3737.3,3733.8,3649.7,5048.9,3839.3,3670.1,4254.9
3445.6,3807,4081,3670.5,3548.1,3819.9,3796.9,3587.4,3892.6,0,3778.6,3393.1,3754.2,3563.3,3783.5,3645.1,3740.3,4967.2,3828,3627.3,4143.1
