6428.6,0,0,7765.9,7173.1,0,10469,7135.4,0,0,0,6827.9,0,6917.5,0,6726.6,6722.1,8893.3,7402.7,7776.6,0,6746.8,6892,7321.9,5836.5,7959.5,7584.2,9445.6,9024.6,0,7784.6,6633.2,0,7367.2,6766.9,0,0,6822.6
6266.8,0,0,7658.7,6899.9,0,10379,6896.3,0,0,0,6739.9,0,6539,0,6529,6563.5,8064.1,7043.1,7521.2,0,6708.3,6812.8,7068.8,5864.5,7919,7392.8,9290.9,8737,0,7562,6561.3,0,7199.4,6742.2,0,0,6650.1
6480,0,0,7507.9,7074.7,0,9932.5,6799.9,0,0,0,6733.8,0,6439.1,0,6470.3,6691.5,8335.1,7226.4,7332.3,0,6546.2,6753.8,7022.6,5750.2,7933.1,7313.1,9152.5,8584.4,0,7460.3,6410.9,0,7271.4,6555.3,0,0,6385.6
6286.9,0,0,7182.6,6739.1,0,10031,6618.2,0,0,0,6497.8,0,6385.7,0,6426.3,6462.5,8160.4,6818.7,7366.3,0,6514.6,6460.4,6898.4,5621.2,7827,7093.2,9049.7,8391.6,0,7144.4,6302.9,0,6998.1,6490.4,0,0,6309.8
7707.7,0,0,9270.4,8389.6,0,11186,8139.9,0,0,0,7754,0,8151.9,0,7807,7825.7,9316,8234.7,9422.2,0,7755.4,8187.1,8738.5,7545.5,9379.8,9055.6,10735,10145,0,9044.6,7833.2,0,8013.1,8436.3,0,0,7915.6
8322,0,0,9523.7,9403.2,0,10791,8753.9,0,0,0,7662.8,0,8699.1,0,7881.4,8511.6,8904.2,8705.8,9261.9,0,7798.9,8399.3,9056.2,8125.7,10026,8988.3,10812,10436,0,9197.9,8527.7,0,8410.8,8885.6,0,0,8226.5
7349.2,0,0,8014.6,7445.6,0,9408.2,6906.8,0,0,0,6318.1,0,7114,0,7084,6602.4,7778.3,7326.6,7719.4,0,6832,6934.7,7642.5,6190.4,8023.5,7582.2,9461.8,8928.2,0,7625.8,7058.5,0,6795.1,7591.3,0,0,6818.5
6054.6,0,0,7065.4,6454.9,0,8787.1,5890.7,0,0,0,5956.5,0,6062.9,0,6603.7,5882.9,6759.6,6666.6,6981.4,0,5994.5,6040.1,6665.3,5591,7160.9,6650.6,8632.1,8114.8,0,6629.8,6121.4,0,6151,6557,0,0,6089.9
5320.1,0,0,6611.9,6171.8,0,8177,5679.6,0,0,0,5827.8,0,5659.3,0,5608,5611.5,6397.3,6190.7,6576.9,0,5610.2,5515.1,6203.1,5197.3,6491.1,6145.4,8010.8,7504.7,0,6359.4,5611.1,0,5751.4,5852.3,0,0,5679.3
5297.2,0,0,6433.7,5687.1,0,8180.6,5632.4,0,0,0,5909.2,0,5445.4,0,5231,5272.7,6327.2,5957,6320.1,0,5645.8,5498.4,5938.5,4906.6,6368.5,6094,7680.7,7077.6,0,6082.9,5480.3,0,5593.1,5626.6,5475,0,5484.2
0,0,0,6256.8,5704.5,0,8080.3,5504.1,0,0,0,5759.9,0,5528.3,0,5158.5,5202.2,6198.3,5874.9,6086.1,0,5424.1,5317.3,5714.4,4982.4,6320.2,5871.2,7248,7114.5,0,6261.8,5226.9,0,5595.8,5573.4,5252,0,5420
0,0,0,6184.6,5701.7,0,7940.6,5420.6,0,0,0,5551.4,0,5396.2,0,5174.4,5213.4,6410.7,5651,6018.1,0,5520,5179.5,5626.6,4803.6,6264,5802.5,7192.9,6904.4,0,6027.8,5290.3,0,5590.5,5420.3,5148.2,0,5419.5
5073,0,0,6025,5562.3,0,7990.2,5382.9,0,0,0,5748,0,5120.6,0,4987.5,4998.2,6389.1,5664.4,5858.9,0,5324.9,5330.2,5580,4780.6,6095.3,5795.5,7043.5,6706.9,0,5949.4,5181.9,0,5687.8,5370.3,5272.2,0,5242.8
0,0,0,5868.1,5534.6,0,7776.2,5382.4,0,0,5334,5419.8,0,5188.8,0,5030.8,5176.1,5736.4,5395.7,5815.4,0,5154,5305.8,5386.6,4785.8,5965.4,5654.5,6606.4,6696.8,0,5900.5,5152.7,0,5637.9,5294.1,5299.1,0,5198.4
0,0,0,5787.6,5546.7,0,7742.8,5294.4,0,0,5072.4,5446.8,0,5162.1,0,4815,5203.6,6048.4,5487,5724.6,0,5241.1,5182.6,5279.6,4751,6163.5,5633.6,6615.8,6405,0,5759.1,5111.4,0,5501.5,5163.4,5194.4,0,5378.1
0,0,0,5726.1,5331.6,0,7463.4,5282.1,0,0,4991.1,5486.7,0,4867.8,0,4889.6,4950,6036.6,5601.6,5555.1,0,5212.2,5350.2,5319,4759.2,5951.8,5487.2,6542.2,6233,0,5817.9,5084.5,0,5371.9,5179.7,4987.2,0,5271.3
0,0,0,5548.7,5010.9,0,7221.8,5086.1,4408.8,0,4954.6,5260.8,0,4777.8,0,4679.6,4724.7,5747,5264.8,5364.8,0,4991.7,5107.2,5026.5,4566.6,5651.5,5402.1,6235.5,6131.6,0,5565.3,4959.7,0,5194.3,4952.3,4912.3,0,5004.7
0,0,0,5526,5172.4,0,7179.9,5034.1,4567,0,4894,5158.1,0,4648.5,0,4616.5,4682.6,5743.1,5087.4,5374.6,0,4994,4932,4977.4,4621.5,5543.3,5455.2,6371.6,6140.3,0,5456.5,4932,0,5323.3,4985.2,4780.8,0,5343.1
6396.1,0,0,7275.5,6858.7,0,8965.8,6586.3,6169.4,0,6358.2,6702.8,0,6509.2,0,6315.3,6370.4,6942.9,6554.9,7469.1,0,6445.6,6546.1,6828.1,6340.9,7240.1,7049,8110,7574.1,0,7270.9,6432.8,0,6520.5,6706,6504.4,0,6682.3
7089.4,0,0,7811.3,7331.2,0,9806.4,7413.9,6624.4,0,6996.2,6905.8,0,6836,0,6776.1,7121.6,7474.9,7038.3,7810.1,0,6804.6,6744,7362.6,6865.9,7659.5,7262.8,9070.9,8521.9,0,7821.4,7378.2,0,7012.5,7601.9,6894.9,0,7149.1
6065.8,0,0,6421.1,6309.3,0,7734.3,5961.6,5767.1,0,5996,5553.1,0,5885.8,0,5497.7,5851.3,6281.4,5415,6206.4,0,5758,5649.7,5895.5,5794.9,6254.9,6065.6,7209.7,7239.2,0,6279.4,5871.4,0,6080.6,6096.5,5510.1,0,5770.1
0,0,0,5545.5,5069.1,0,7145.1,4795.5,4598.5,0,4665.4,5098.6,0,4938.9,0,4867.7,4726.8,5323.3,4940.4,5371.1,0,4821.8,4910.2,5252.4,4560.4,5346,5232.8,6330.8,6114.4,0,5373.2,4993.8,0,5043.1,5139.5,4789.7,0,4842.2
0,0,0,5228.7,4671.8,0,6400.7,4621.4,4171.3,0,4465,5066.4,0,4530.6,0,4457.9,4501.9,5148.6,4813.9,5271.2,0,4714.3,4625.5,4873.1,4300.7,5346.8,4974,5921.1,5626.7,0,5097.7,4598.5,0,4605,4833.6,4657.2,0,4605
0,0,0,5183.9,4791.2,0,6368.6,4591.2,4159.4,0,4470.3,5001,0,4372.9,0,4341.7,4299.9,5050.1,4678.3,5048,0,4789.2,4554.1,4743.3,4295.2,5270.4,4894.5,5885.1,5642.4,0,5011.8,4510.4,0,4744,4660.2,4577.3,0,4677.4
0,0,0,5044.7,4754.1,0,6081.5,4547.2,4064.2,0,4384.3,4972.4,0,4371.2,0,4310.6,4506,4995.4,4628.3,5041.5,0,4658,4494.5,4598.2,4203.9,5205.5,4887.2,5666.6,5616.5,0,4950.4,4461.6,0,4980.4,4584.9,4557.6,0,4891.7
