9392.9,0,9029.7,9813.9,9147.9,10317,11093,0,11257,10022,10051,0,0,0,12232,0,11126,11757,11965,0,9698.4,10705,0,11461,0,10754,11731,0,9714.1,12137,0,12493,10560,12092,12142,13145,13000,11779,0,10330,0,11392,0,0,0,12370,12016,11648,0,0
9325.8,0,9050.8,9780.1,9180.3,10011,10843,0,10941,9566,9732.6,0,0,0,12192,0,10633,11622,11924,0,9609.5,10492,0,10683,0,10700,11034,0,9480.5,11466,0,11964,10203,11521,11626,12688,12822,11365,0,9957.2,0,11412,0,0,0,11638,11681,11799,0,0
11760,0,12057,12410,11637,12219,12926,0,12374,12131,11645,0,0,0,13375,0,12791,13145,13349,0,12490,12647,0,12537,0,12421,12617,0,12178,13099,0,13507,12849,13469,13122,13518,13458,13173,0,12394,0,13001,0,0,0,13456,12929,12944,0,0
12208,0,12019,12063,12557,11638,12915,0,12926,11697,12137,0,0,0,12045,0,12784,12651,13069,0,12638,12529,0,12043,0,12705,12132,0,11938,12689,0,12993,12838,12988,12812,13133,13257,12524,0,12078,0,12366,0,0,0,13117,12914,12711,0,0
11275,0,11504,11922,11390,12290,12391,0,12472,11387,12369,0,0,0,12035,0,12411,12551,12928,0,12374,12358,0,12187,0,12403,12233,0,11633,12333,0,13058,12557,12978,12511,12989,13281,12359,0,12001,0,12313,0,0,0,12966,12786,13063,0,0
11600,0,11573,11937,11410,11754,12925,0,12373,11940,11885,0,0,0,12100,0,12582,12586,13047,0,12342,12333,0,11659,0,12126,12288,0,11447,12751,0,13071,12385,13404,12503,12979,12995,12613,0,11847,0,12222,0,0,0,12917,12809,12662,0,0
11734,0,11081,11839,11794,11427,12738,0,12139,11251,11130,0,0,0,11837,0,12341,12210,12664,0,11845,11909,0,11606,0,12224,11736,0,11515,12419,0,12630,12644,12645,12205,12644,12813,12265,0,11853,0,12061,0,0,0,12561,12639,12163,0,0
11643,0,10951,11602,11889,11811,12264,0,11951,11308,11704,0,0,0,11359,0,12151,12234,12771,0,11999,11748,0,11560,0,12439,11630,0,11413,12446,0,12702,12242,12618,12237,13122,12867,12090,0,11852,0,11727,0,0,0,12407,12554,12561,0,0
11479,0,11218,11877,12286,11469,12552,0,12336,10876,11260,0,0,0,11067,0,11691,12059,13089,0,12019,12088,0,11643,0,11788,11603,0,11008,12505,0,12408,12281,13365,12055,12474,12560,11843,0,11370,0,11807,11014,0,0,12118,12351,12070,0,0
11808,0,10861,11902,12035,11644,12617,0,12025,10897,11194,0,0,0,10864,0,11957,11892,13088,0,12393,12104,0,11580,0,11854,11436,0,11496,12279,0,12338,12154,13014,12046,12646,12655,11654,0,11230,0,11461,0,0,0,12158,12303,12008,0,0
11100,0,11121,11298,11765,11627,12274,0,11994,10935,11241,0,0,0,11030,0,11889,11924,12767,0,11525,11618,0,11239,0,11194,11360,0,10879,12302,0,12448,12195,12548,11795,12431,12601,11861,0,11318,0,11569,11372,0,0,12024,11921,12165,11708,0
10827,0,11066,11502,12071,11414,11846,0,11770,10977,11266,0,0,0,10780,0,11576,11552,12517,0,11407,11802,0,10859,0,11537,11280,0,11021,11770,0,12228,11665,12258,11981,12204,12227,11562,0,10959,0,11661,10661,0,0,11943,11588,11542,0,0
11027,0,10668,11326,11877,11010,11877,0,11725,10521,10890,0,0,0,10720,0,11413,11402,11971,0,11152,11614,0,10992,0,11461,11113,0,10656,11595,0,11983,11194,12693,11703,12162,12205,11073,0,11041,0,11437,10865,0,0,11371,11808,11715,12169,0
10961,0,10660,11007,11216,11435,12211,0,11817,10891,11040,0,0,0,10638,0,11313,11328,12276,0,11366,11121,0,10914,0,11317,10990,0,10442,11369,11765,11684,11700,12574,11716,11771,12171,11528,0,10902,0,11348,10876,0,0,11171,11545,11657,11625,0
10443,0,10696,11143,11067,10961,11723,0,11591,10851,10717,0,0,0,10744,0,11262,11296,12266,0,10972,11534,0,11025,0,11088,11002,0,10684,11130,11422,12118,11380,12179,11640,11997,11922,11349,0,11522,0,10919,10898,0,0,11200,11523,11265,11730,0
10662,0,10704,10869,11531,10522,11845,0,11657,10877,10622,0,0,0,10583,0,11321,11438,12464,0,11008,11505,0,11077,0,11046,10752,0,10217,11360,11280,12048,11628,12147,11465,11819,12326,11285,0,11203,0,11500,11301,0,0,11015,11431,11177,11769,0
10708,0,10286,11134,11222,10965,11327,0,11558,10453,10962,0,0,0,10611,0,11513,11492,12050,0,10868,10917,0,10600,0,11287,10878,0,11081,11592,11060,12163,10883,12089,11356,12013,11843,11341,0,11315,0,10643,10793,0,0,11249,11651,11396,11300,0
10198,0,10264,10467,11026,10574,11428,0,11160,10434,10641,0,0,0,10880,0,11118,11032,11769,0,10734,11012,0,10635,0,10996,10535,0,10174,10977,11622,11871,11521,11915,11364,11499,11923,11048,0,10845,0,10808,10668,0,0,10953,11152,11324,10875,0
10473,0,10343,11146,10975,10694,11372,0,11200,10522,10402,0,0,0,10688,0,10978,10983,12128,0,10281,11053,0,10938,0,10628,10437,0,10267,10807,11310,11877,10826,11954,11376,11599,11556,10924,0,10510,0,10648,10544,0,0,10668,11661,11148,11024,0
