9768,8083.1,7801.6,8464.9,0,7402.1,8004.3,8318.4,8117,8319.1,7806.1,6986,7333.6,7186.3,7495.6,7833.1,7234.3,7989.3,8848.4,9716.8,8145.6,8723.1,9845.2,9414.9,7798.9,7686.2,8836.5,0,8786.5,8936.6,10462,8636.1,8788.5,7464.2,9283.9,10281,7260,9393.5,9258.5,8179.3,6909.1,7418.1,7856.5,9136.1,10443,9050.9,0,8883.8,8484.7,8116.4,7765,9286.6,8506.9,8637.7,8886.5,8136.8,10663,8541.5,8467,8060,7901.8,7563.8,7828.6
9661.5,8102.5,7585.7,8450.1,0,7286.3,8010.6,8055.9,8008.6,8367.8,7445.1,6943.5,7175.3,7128,7237.8,7808.7,7122.2,7819.6,9008,9874.8,8008.6,8505.5,9557.3,9566.6,7712.4,7551.7,8967.2,0,8727.3,8771,10127,8461.6,8630.7,7414.2,8906.4,10027,7226.4,9398.4,9293,8105,6845.5,7242.1,7371.5,8770.7,10589,8925,0,8587.1,8196.8,8206.2,7607.7,8985.4,8352.2,8545.6,8779.7,8076.5,10448,8497.8,8266,7931.1,7841.9,7267.7,0
9885.2,8017.8,7842.5,8617.3,7145.9,7227.3,7897.4,7770.1,8035.5,8329.6,7421.1,6939.9,7235.2,7161.9,7363.7,7893.2,7296,7870.4,8933.5,9577.3,7996.3,8537.7,9595,9390.2,7877.9,7533.2,8932.1,0,8619.9,8924.6,10056,8519,8485.6,7305.7,8792.1,9839.3,7152.5,9365.7,9172.7,8037.8,6822.4,7285.4,7553.1,8908,10296,8957.8,0,8445.2,8133.3,8106.4,7614,8844.5,8416.5,8258.4,8814,8195.3,10175,8235.2,8003.8,7907.1,7784.1,7223,7242.8
9962.8,8123.2,7572.1,8685.2,7263.1,7724.1,8056.2,7680,8172.3,8153.3,7824.1,7237.1,7022,7356.2,7352.3,8016.3,7226.4,8018.1,8740.4,10071,7979.4,8760.3,9821.9,9741.2,8176.1,7344.2,9178.5,0,8287.7,9232.4,9992.4,8795.4,9177.7,7463.9,9065.2,10628,7221.9,9295.8,9246.2,8308.6,6920.4,7300.8,7865.1,9309.7,10328,9178.3,0,8527.5,8104.1,8156.7,7538.7,9222.8,8777.4,8453.4,9297.5,8219.6,10833,8429,7803.2,8097.1,7858.9,7308.7,7456.6
9825.6,8080.2,7153.9,8799.2,7193.2,8009.6,8115,7345.1,8037.7,8246.2,8075.5,7131.5,6942.2,7234.1,7648.3,8082.8,7355.2,8080.4,8725,10792,7942,8947.1,10501,10406,8910.1,6959,9463.6,0,8656.6,10032,10706,8898.9,9210.6,7435.6,9294.5,11704,7271.1,9434.8,9528.4,8232.5,7135.8,7768.7,8129.4,9597.5,10604,9776.1,0,8618,8075.7,8036.5,7653.7,9653.9,8910.9,8689.3,9629.7,8528.2,11501,8680.8,7730.1,8155.7,7916.2,7815.5,7520.9
9703,8111.9,7074.7,8977,7305.4,8259.3,8121.8,7329.1,8025,8262,8035.5,7248,6704.9,7246.1,7223.9,7997.6,7133.9,7828,9130.9,9641.6,7882.3,8970.3,10324,10287,8535.6,6674.7,9102.4,0,8479.8,10038,10517,8958.6,9050.8,7320.6,9258.5,10923,7070.5,9087.5,9123.4,8242.3,6962.1,7600.6,7653.7,9591.8,10575,9303.8,0,8403.3,8130.9,7808.5,7544,8894.4,8664.2,8589,9316.7,8742.2,11155,8351.7,7942,8262.9,7716.3,7364.8,7672
9496.9,7859.2,6847.5,8412,7316.8,7711,7777.5,7121.8,7760.8,8085.3,7511.3,6907,6558.8,7073.6,7166,7800.2,7112.3,7698,8688.6,9572.1,7752.2,8432.8,9430.1,9819.4,8147.6,6762.4,9114.3,0,8428.1,9841.3,10453,8704.3,8952.3,6857.3,8787.7,10143,6814.6,8906.5,8910.6,7635.7,6808.1,7131.5,7446.8,8990.6,10495,8737,0,8289.3,7774.7,7487.6,7288.8,8818.6,8444.8,7939.4,9140.2,7996.7,10358,8138.4,7901.1,7890.6,7425.4,7056,0
9020.2,7752.9,6983.3,8313.3,7113.8,7268,7627.4,7161.5,7584.3,7862.7,7552.3,6748.8,6605.3,6718.2,6969,7402.8,6870.4,7408.1,8377.9,8980.6,7439,8379.8,9326.2,9196.6,7928.9,6705,8636.7,0,8157.1,8873.7,9470.4,8503.3,8829.7,6693.7,8312.9,9541.7,6821.8,8417.6,8644,7619.1,6606.5,7078.8,7315.9,9034.5,9736.9,8370.1,7845.1,8028.7,7672.7,7581.8,7164.9,8166.5,7917.3,7900.4,8603.2,8008.2,9839.6,8184.8,7661.9,7823.5,7271.6,6955.5,6913.9
9343.8,7602.7,6954.7,7970,6929.4,7024.3,7623.7,7080.5,7450.8,7506.7,7245.3,6497.6,6704.4,6836.5,6790.9,7323.4,6871.1,7441.7,8021.4,8906.1,7424.4,8218.2,8903,8623.5,7644.6,6759.8,8415,8051,8040.5,8397.2,9189.1,8442.8,8428.9,6653.5,8117.6,9014.4,6580.2,8506.1,8513,7582.7,6519,6911.3,7125.9,8928.7,9300.6,8141.1,7919,7706.3,7522.5,7570.7,7089.2,8245.6,7936.1,7738.7,8259.8,7953.2,9318.4,7911.7,7549.5,7675.4,7303,6714,0
9027.9,7492.4,6855.5,7917.8,6727.6,6791.8,7281,7308.8,7318,7396.2,7112.5,6537.2,6544.4,6739.9,6742.9,7137.8,6682.7,7268,7906.4,8665.5,7287.3,7831.9,9048,8636.4,7518,6640.3,8171.1,7991.4,7726.2,8475.7,8924.2,8049.7,8357.8,6513.2,7824.2,8941.1,6556.4,8278.9,8427.8,7419.9,6402.1,6838.3,6870.8,8484.7,9088.1,7971.5,7510.2,7543.5,7440.8,7240.1,6947.9,8006,7739.6,7602.5,8060.6,7724.7,9246.9,7713.8,7291.6,7368.4,7097.1,6698.6,0
8710.1,7173,6917,7591.9,6624.9,6513.9,7153.4,7057.1,7455.6,7236.1,6860.5,6324.6,6532.3,6527.5,6546.4,6954.3,6510.4,7130.5,7791,8174.3,7167.6,7577.3,8599.8,8660.2,7296.8,6508.1,7910.5,7849.7,7597.9,8007.3,8715.5,7522.8,7765.4,6439.4,8068.5,8756.3,6497.6,7955.4,8061.6,7276.4,6355.8,6490.2,6757.6,8086.5,8688.4,7619,7628.6,7519.5,7266.4,7245.4,6886.4,7658.8,7433.2,7372.1,7826,7481.5,8809.4,7471.1,7200.1,7343.4,6970.9,6475.2,0
8444.2,7134.1,6704.1,7412.4,6674.8,6552.8,7090.9,7059.4,7262.2,7300.3,6709.9,6224.2,6531.3,6518.2,6659.5,6995.6,6564.3,7036.1,7684.3,8336.7,7241.3,7501.2,8643.4,8151,7208.9,6625.6,7774.2,7699.7,7558.2,7807.5,8860.7,7446.2,7670.8,6525.6,7978.7,8473.5,6391.3,8174.8,7865.5,7127.3,6247.7,6537.6,6744.3,8022,8800.8,7643.7,7332.8,7392.3,7144.8,7127,6840.1,7749.4,7395.5,7247.5,7706,7429.5,8648.8,7443.4,7293.1,7180.2,6914.2,6522.7,0
