6733.3,0,0,0,6121.6,0,0,0,0,0,0,0,0,0,0,0,6730.9,0,0,0,6543.7,0,0,0,0,0,7009.6,0,0,0,0,6628,5774.7,0,0,0,0,0,0,0,0,0,0,0,7730.8,0,0,0,9770.7
6654.6,0,0,0,6357.6,0,0,0,0,0,0,0,0,0,0,0,6819.8,0,0,0,6586.5,0,0,0,0,0,6812.1,0,0,0,0,6594.2,5866.6,0,0,0,0,0,0,0,0,0,0,0,7557,0,0,0,9664.4
8402.8,0,0,0,7969,0,0,0,0,0,0,0,0,0,0,0,8521.6,0,0,0,8467.6,0,0,0,0,0,8580.2,0,0,0,0,8515.5,7348.6,0,0,0,0,0,0,0,0,0,8119.4,0,9432.1,0,0,0,10450
10384,13515,0,14772,14023,0,13539,13390,14168,11956,0,0,0,0,11849,0,11993,12551,0,13634,13335,0,14025,0,0,0,13147,0,0,0,13755,13694,10928,0,0,11018,0,0,10910,0,0,13999,10991,0,11772,11762,11436,11436,13434
8820.5,13319,0,14498,13175,0,13112,12767,14108,11410,0,0,0,0,11651,0,12630,11955,13476,12928,13517,0,15044,0,9709.1,0,12522,11897,12009,0,13319,13690,10194,0,0,11572,0,0,10759,0,0,13743,10637,0,10167,10941,11253,11253,14092
8345.3,9397,5624.1,11307,10061,0,10159,9825.2,12223,8039.5,0,0,0,0,10483,0,8065.1,9783.3,9942.1,11854,12302,0,12321,0,7849.8,0,9041.7,10540,8445.2,0,10499,12465,7507.5,0,0,8309.4,0,0,8731.7,0,0,10067,9030.3,5647.1,8391,8562.4,9651.9,9651.9,10332
6722.1,7394.8,6132.7,8714,7158.4,0,7674.8,7387.3,8414.3,7035.4,0,0,0,0,7570.4,0,6952.6,7391.3,8543.3,9333,7701.6,0,10429,0,7127.7,0,7486,8096.3,7513,0,8389.4,9443.8,5865.9,4921.4,0,6872.8,0,0,6911.5,0,5006.3,7168.8,8010.2,5522.3,7518.8,7221.6,7764.4,7764.4,10227
6250.7,7270.6,6075.2,7553.7,6218.7,0,6776.9,6657.1,7261.3,6530,0,0,0,0,7073.4,0,6310.1,6696.3,7329.5,7827.3,7059.6,0,9006.1,0,6599.1,0,6508,7443.7,6998.9,0,7571.9,7673.4,5540.8,5070.7,0,6662.2,0,0,6214.4,5039.5,5121.8,6292.8,7184.4,5598.5,7077.5,6252.1,6853.5,6853.5,9718.2
6013.1,6514.9,6295.5,7276.8,5539,0,6327.1,5937.5,6344,6559.2,0,0,0,0,6577.3,0,6226.9,6447.9,6901.5,6878.2,7106,0,8182.8,0,6528.3,0,6581,6742.9,6628,0,7588.6,6910.6,5542.3,5162.8,0,6163.5,0,5347.5,5860.5,5288.1,5278.2,5861.4,6543,5637.6,7055.5,6052.3,6607.9,6607.9,9061.4
6038.3,6293.5,6032.6,6735,5385.8,0,6086.7,5837.9,5905.4,6486.8,0,0,0,0,6059.1,0,6084.7,6021.3,6560.8,6793.6,6396.9,0,7439.4,0,6459.4,0,6163.8,6382.7,6268,0,7032.7,6295.4,5751.2,5018.6,0,5684.6,0,5722.1,5586,5318,5165.5,5662.1,6199.5,5666.4,6840.4,6027.4,6337.9,6337.9,9366.2
6106.1,6141.6,5697.7,6545.3,5557.6,0,5872.8,5795.4,5736.8,6315.8,0,0,0,0,5720.9,0,5921.9,5955.3,6676.4,6367.1,6257.8,0,7169.5,0,6262,0,6162.9,6141.9,6143.5,0,6778.5,5833.4,5531.6,5184.5,0,5554,0,5432.2,5491.5,5240.6,5105.9,5307.3,6379.2,5920,6795.4,6017,6145.5,6145.5,8786
