Row,Col,Strain,Dose
1,1,177_5h,0
2,1,183_5h,0
3,1,363_5h,0
4,1,369_5h,0
5,1,177_4h,0
6,1,183_4h,0
7,1,363_4h,0
8,1,369_4h,0
1,2,177_3h,0
2,2,183_3h,0
3,2,363_3h,0
4,2,369_3h,0
5,2,177_2h,0
6,2,183_2h,0
7,2,363_2h,0
8,2,369_2h,0
1,3,177_5h,256
2,3,183_5h,256
3,3,363_5h,256
4,3,369_5h,256
5,3,177_5h,512
6,3,183_5h,512
7,3,363_5h,512
8,3,369_5h,512
1,4,177_5h,1024
2,4,183_5h,1024
3,4,363_5h,1024
4,4,369_5h,1024
5,4,177_5h,2048
6,4,183_5h,2048
7,4,363_5h,2048
8,4,369_5h,2048
1,5,177_4h,256
2,5,183_4h,256
3,5,363_4h,256
4,5,369_4h,256
5,5,177_4h,512
6,5,183_4h,512
7,5,363_4h,512
8,5,369_4h,512
1,6,177_4h,1024
2,6,183_4h,1024
3,6,363_4h,1024
4,6,369_4h,1024
5,6,177_4h,2048
6,6,183_4h,2048
7,6,363_4h,2048
8,6,369_4h,2048
1,7,0,0
2,7,0,0
3,7,0,0
4,7,0,0
5,7,0,0
6,7,0,0
7,7,0,0
8,7,0,0
1,8,177_3h,256
2,8,183_3h,256
3,8,363_3h,256
4,8,369_3h,256
5,8,177_3h,512
6,8,183_3h,512
7,8,363_3h,512
8,8,369_3h,512
1,9,177_3h,1024
2,9,183_3h,1024
3,9,363_3h,1024
4,9,369_3h,1024
5,9,177_3h,2048
6,9,183_3h,2048
7,9,363_3h,2048
8,9,369_3h,2048
1,10,177_2h,256
2,10,183_2h,256
3,10,363_2h,256
4,10,369_2h,256
5,10,177_2h,512
6,10,183_2h,512
7,10,363_2h,512
8,10,369_2h,512
1,11,177_2h,1024
2,11,183_2h,1024
3,11,363_2h,1024
4,11,369_2h,1024
5,11,177_2h,2048
6,11,183_2h,2048
7,11,363_2h,2048
8,11,369_2h,2048
1,12,156_5h,0
2,12,160_5h,0
3,12,156_4h,0
4,12,160_4h,0
5,12,156_3h,0
6,12,160_3h,0
7,12,156_2h,0
8,12,160_2h,0
