Row,Col,Strain,Dose
1,1,0,0
2,1,0,0
3,1,0,0
4,1,0,0
5,1,0,0
6,1,228.3,90
7,1,0,0
8,1,228.3,120
1,2,0,0
2,2,228.3,30
3,2,0,0
4,2,228.3,60
5,2,0,0
6,2,0,0
7,2,0,0
8,2,1001.3,120
1,3,0,0
2,3,1001.3,30
3,3,0,0
4,3,1001.3,60
5,3,0,0
6,3,1001.3,90
7,3,0,0
8,3,1001.1,120
1,4,0,0
2,4,1001.1,30
3,4,0,0
4,4,1001.1,60
5,4,0,0
6,4,1001.1,90
7,4,0,0
8,4,228.1,120
1,5,0,0
2,5,228.1,30
3,5,0,0
4,5,228.1,60
5,5,0,0
6,5,228.1,90
7,5,0,0
8,5,228.2,120
1,6,0,0
2,6,228.2,30
3,6,228.3,60
4,6,228.2,60
5,6,0,0
6,6,228.2,90
7,6,228.3,120
8,6,1001.2,120
1,7,228.3,90
2,7,1001.2,30
3,7,0,0
4,7,1001.2,60
5,7,228.3,30
6,7,0,0
7,7,0,0
8,7,0,0
1,8,1001.3,90
2,8,0,0
3,8,1001.3,60
4,8,0,0
5,8,1001.3,30
6,8,1001.2,90
7,8,1001.3,120
8,8,0,0
1,9,1001.1,90
2,9,0,0
3,9,1001.1,60
4,9,0,0
5,9,1001.1,30
6,9,0,0
7,9,1001.1,120
8,9,0,0
1,10,228.1,90
2,10,0,0
3,10,228.1,60
4,10,0,0
5,10,228.1,30
6,10,0,0
7,10,228.1,120
8,10,0,0
1,11,228.2,90
2,11,0,0
3,11,228.2,60
4,11,0,0
5,11,228.2,30
6,11,0,0
7,11,228.2,120
8,11,0,0
1,12,1001.2,90
2,12,0,0
3,12,1001.2,60
4,12,0,0
5,12,1001.2,30
6,12,0,0
7,12,1001.2,120
8,12,0,0
