5528.2,0,4199.4,4482.9,5168.4,0,4154.4,0,4278.2,0,0,4635.2,4767.7,0,4730.3,0,4701.4,0,4285.2,4108.5,4549.2,4100.7,4216.4,0,4720.7,4247.8
5572.9,0,4123.2,4390.9,5027,0,4052.1,0,4299.5,0,0,4539,4586.6,0,4515.5,0,4737.5,0,4127.6,3940.8,4488.4,3995.6,4144.5,0,4689.8,4230.5
0,0,5265,5627.8,6548.3,0,5354.7,0,5209.5,0,0,5949.2,6005.8,0,5982,0,5847.4,0,5379.2,5242.4,5673.5,5149.2,5601.7,0,6037.2,5706.1
6765.2,0,5177.1,5467.4,6096,0,5105.8,0,5011.5,0,0,5827.8,5844.4,0,5997.1,0,5591.8,0,5247,5051.7,5600,5076.2,5484.8,0,5880.4,5623.5
0,0,5194.9,5458.9,6222.1,0,5412.6,0,5157.4,0,0,5787,5897.2,0,6011.2,0,5632.1,0,5292.7,5029.8,5552.4,4965.4,5734.8,0,5987.4,5593.4
0,0,5409.5,5297.5,6166.3,0,5196.3,0,5158.5,0,0,5805.5,5882.9,0,6069.7,0,5712.9,0,5302.5,5326.2,5621.2,5092.9,5603.7,0,6030.9,5524.3
0,0,5247.5,5511.2,6054.1,0,5048.7,0,5141.8,0,0,5702.2,5888.9,0,6269.1,0,5496.3,0,5350.6,5015.1,5585.4,5107,5580.6,0,6044.1,5575.1
0,0,5037.1,5126.4,6003.2,0,4894.5,0,4943.2,0,0,5661.2,5322.3,0,5792.8,0,5473.2,0,5219.9,5105.1,5388.7,4927.8,5600.5,0,6021.6,5339
0,0,5129.9,5629.6,5896.1,0,5148.5,0,5056.1,0,0,5721.8,5408.8,0,5925,0,5592,0,5138,5176.1,5523.2,5025.5,5583.2,0,5897.6,5295.6
0,0,5094.7,5464.1,5872,0,5061.7,0,5038,0,0,5772.7,5611.1,0,5915.4,0,5388.4,0,5260.9,4983,5443,4889.2,5457.4,0,5625.6,5273.8
6086.7,0,5034.1,5114.3,5860.1,0,4952.2,0,4956.9,0,0,5671.2,5363,0,5820.2,0,5406.5,0,5103.9,5028.6,5259.9,4678.4,5275.3,0,5631,5105.9
0,0,4784.9,4966.7,5698.3,0,4797.9,0,4761.5,0,0,5563.2,5153.8,0,5587.7,0,5245.2,0,5012.6,4822.4,5411.8,4828.8,5149.2,0,5550.1,5037.2
5884.2,0,4750.5,4954.5,5723.4,0,4806,0,4890.5,0,0,5348.8,5117.9,0,5479.7,0,5149.5,0,4993.8,4807.1,5121,4727.4,5237.3,0,5566.5,4928.1
0,0,4874.9,4923.4,5642.9,0,5033.1,0,4864.1,0,0,5444.4,5231.3,0,5539.4,0,5162.5,0,5047.5,4774.7,5260.9,4840.4,5219.9,0,5581.9,5306.8
