Time,Temp,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
11992.595,30,,,,,,,,,,,,,,0.3367,0.3244,0.4275,0.321,0.3301,0.4085,0.2952,0.3913,0.3134,0.4428,,,0.3433,0.4485,0.4008,0.476,0.351,0.3199,0.3473,0.313,0.4235,0.3012,,,0.331,0.3572,0.397,0.3554,0.3073,0.3219,0.373,0.1661,0.3225,0.3536,,,0.4155,0.4888,0.3247,0.3134,0.3407,0.4116,0.3649,0.3539,0.304,0.1675,,,0.3544,0.1424,0.3363,0.3824,0.3101,0.3884,0.3718,0.1152,0.1399,0.4011,,,0.431,0.3801,0.3278,0.1192,0.1079,0.0996,0.0994,0.0988,0.0961,0.1126,,,,,,,,,,,,,
13192.516,29.9,,,,,,,,,,,,,,0.3724,0.3569,0.4686,0.3536,0.3604,0.4475,0.3249,0.431,0.3452,0.4839,,,0.3741,0.4912,0.4393,0.5201,0.3886,0.353,0.3801,0.3441,0.4631,0.3301,,,0.36,0.3934,0.4349,0.3896,0.3382,0.3532,0.4108,0.1736,0.3539,0.3879,,,0.4551,0.5335,0.3572,0.3435,0.3778,0.4526,0.4017,0.3905,0.3293,0.173,,,0.3838,0.1464,0.3689,0.4181,0.3352,0.4249,0.4084,0.1167,0.1437,0.4385,,,0.4728,0.4196,0.3593,0.1206,0.1072,0.0994,0.1011,0.1005,0.097,0.1174,,,,,,,,,,,,,
14392.433,30,,,,,,,,,,,,,,0.4127,0.3941,0.5116,0.3889,0.393,0.4884,0.3564,0.472,0.3806,0.5251,,,0.4111,0.5364,0.4796,0.5663,0.4295,0.3917,0.4182,0.3778,0.5081,0.3625,,,0.3893,0.4378,0.4755,0.4288,0.3728,0.3872,0.4501,0.1813,0.392,0.4239,,,0.4982,0.5815,0.3934,0.3776,0.4188,0.4952,0.4397,0.4275,0.3582,0.1814,,,0.4221,0.1512,0.4056,0.4571,0.3637,0.463,0.447,0.1191,0.1483,0.48,,,0.5186,0.467,0.3966,0.1233,0.108,0.0989,0.1013,0.106,0.0998,0.1155,,,,,,,,,,,,,
15592.38,29.9,,,,,,,,,,,,,,0.4576,0.4352,0.555,0.429,0.4285,0.5308,0.3913,0.5133,0.4207,0.5685,,,0.4509,0.5788,0.5209,0.6131,0.4757,0.4317,0.458,0.4154,0.5498,0.4,,,0.4218,0.4833,0.5168,0.471,0.4114,0.425,0.4916,0.1893,0.4291,0.4614,,,0.5389,0.6275,0.4332,0.4152,0.4628,0.5364,0.4806,0.4666,0.3885,0.1881,,,0.4581,0.1559,0.4454,0.4956,0.3916,0.5028,0.4862,0.1205,0.1518,0.5197,,,0.5616,0.5115,0.4344,0.1236,0.1063,0.0972,0.0977,0.0967,0.0961,0.1128,,,,,,,,,,,,,
16792.28,30,,,,,,,,,,,,,,0.5017,0.4803,0.6011,0.4725,0.4672,0.576,0.4319,0.5573,0.461,0.6161,,,0.4938,0.6241,0.5642,0.6602,0.5243,0.4741,0.5001,0.4573,0.5949,0.4393,,,0.458,0.5311,0.5604,0.5132,0.4535,0.4676,0.5342,0.1982,0.4703,0.5031,,,0.5848,0.6784,0.4753,0.456,0.5084,0.5783,0.5212,0.5066,0.4236,0.194,,,0.5011,0.1619,0.4923,0.5383,0.4252,0.5448,0.5292,0.123,0.1574,0.5661,,,0.6114,0.5637,0.4774,0.1274,0.1067,0.0986,0.0989,0.0997,0.0969,0.1039,,,,,,,,,,,,,
17992.219,30,,,,,,,,,,,,,,0.5493,0.5267,0.6503,0.5159,0.5077,0.6234,0.4756,0.6024,0.5036,0.6648,,,0.5386,0.6702,0.6096,0.7108,0.5756,0.5196,0.543,0.5017,0.6451,0.4819,,,0.497,0.5798,0.6077,0.5585,0.4992,0.5106,0.5822,0.2084,0.5127,0.545,,,0.6327,0.73,0.52,0.5003,0.5569,0.6232,0.565,0.5511,0.4605,0.2023,,,0.5425,0.1681,0.5385,0.5838,0.4613,0.5889,0.5715,0.1257,0.1634,0.6114,,,0.6601,0.6139,0.5232,0.1308,0.1075,0.0993,0.1033,0.0988,0.0974,0.1181,,,,,,,,,,,,,
19192.133,29.9,,,,,,,,,,,,,,0.5952,0.572,0.6974,0.5602,0.5494,0.6694,0.5195,0.6475,0.546,0.7133,,,0.5828,0.7172,0.6566,0.7588,0.6283,0.5647,0.5866,0.5441,0.6918,0.5252,,,0.5374,0.6256,0.6527,0.5993,0.5424,0.5538,0.6263,0.2181,0.5557,0.5876,,,0.6784,0.7782,0.5629,0.5429,0.6046,0.6687,0.6099,0.5946,0.497,0.2122,,,0.5822,0.1735,0.5824,0.6247,0.4963,0.6332,0.6139,0.1268,0.1662,0.655,,,0.7059,0.663,0.5652,0.1304,0.1046,0.0965,0.1001,0.0988,0.096,0.1105,,,,,,,,,,,,,
20392.064,30,,,,,,,,,,,,,,0.6449,0.62,0.7478,0.6058,0.5908,0.7202,0.5665,0.6961,0.5934,0.7624,,,0.6282,0.7681,0.704,0.8079,0.6822,0.6151,0.6312,0.59,0.743,0.5696,,,0.579,0.6755,0.7007,0.6473,0.5894,0.6,0.6768,0.2303,0.602,0.6354,,,0.7305,0.8308,0.6115,0.5902,0.654,0.7187,0.6556,0.6433,0.5373,0.2219,,,0.6307,0.1813,0.6333,0.675,0.539,0.6809,0.6615,0.1304,0.1745,0.705,,,0.7555,0.7181,0.613,0.136,0.1071,0.0982,0.099,0.0959,0.095,0.1066,,,,,,,,,,,,,
21591.992,30.1,,,,,,,,,,,,,,0.6949,0.6667,0.7979,0.6529,0.6359,0.7687,0.612,0.7432,0.6412,0.8101,,,0.6753,0.8179,0.7504,0.8562,0.7353,0.6628,0.6761,0.6341,0.7893,0.6161,,,0.6214,0.7256,0.7483,0.6942,0.633,0.6426,0.7228,0.2424,0.651,0.6801,,,0.777,0.8826,0.6563,0.6331,0.7008,0.7646,0.7008,0.6882,0.5761,0.2328,,,0.6754,0.1869,0.6769,0.7204,0.5774,0.7251,0.7062,0.132,0.1785,0.7516,,,0.8058,0.7718,0.6629,0.1361,0.1041,0.0971,0.0977,0.0955,0.0944,0.0966,,,,,,,,,,,,,
22791.897,30,,,,,,,,,,,,,,0.7463,0.7159,0.844,0.7004,0.6814,0.8146,0.6585,0.7891,0.6883,0.8537,,,0.7257,0.8675,0.7991,0.9059,0.7877,0.7148,0.7238,0.6832,0.8388,0.6626,,,0.6661,0.7764,0.7962,0.7413,0.6811,0.6919,0.7701,0.2555,0.6995,0.7282,,,0.8268,0.9303,0.7048,0.6784,0.7526,0.8147,0.7473,0.737,0.619,0.2442,,,0.7212,0.1948,0.7269,0.769,0.6184,0.7707,0.7523,0.1351,0.1849,0.796,,,0.8533,0.8234,0.7123,0.139,0.1027,0.0946,0.0956,0.0934,0.0926,0.0983,,,,,,,,,,,,,
23991.829,30,,,,,,,,,,,,,,0.7991,0.7674,0.8912,0.7498,0.7299,0.8623,0.7091,0.8363,0.7412,0.9002,,,0.7757,0.9137,0.8474,0.9505,0.8393,0.7638,0.7721,0.7306,0.8832,0.7147,,,0.7095,0.8258,0.8464,0.7917,0.7301,0.7395,0.8201,0.2708,0.7484,0.775,,,0.8759,0.9792,0.7581,0.7302,0.8042,0.8612,0.796,0.786,0.6645,0.2584,,,0.7703,0.2056,0.7774,0.8185,0.6638,0.8174,0.8017,0.1396,0.1962,0.8479,,,0.9011,0.8797,0.7629,0.1474,0.1071,0.0987,0.1002,0.0989,0.0988,0.1181,,,,,,,,,,,,,
25191.753,30,,,,,,,,,,,,,,0.8474,0.8157,0.9374,0.797,0.7759,0.9066,0.7591,0.8811,0.7893,0.9425,,,0.8267,0.9571,0.8914,0.9946,0.8939,0.8156,0.8193,0.7783,0.9303,0.7628,,,0.753,0.8776,0.8905,0.8379,0.7811,0.7874,0.8662,0.2874,0.7981,0.8206,,,0.9211,1.0234,0.8092,0.7797,0.8535,0.9055,0.8414,0.833,0.7087,0.2724,,,0.8209,0.2147,0.8262,0.8646,0.7067,0.8618,0.8476,0.1432,0.2038,0.8918,,,0.9497,0.9304,0.812,0.1504,0.106,0.0977,0.0987,0.0971,0.0956,0.1108,,,,,,,,,,,,,
26391.678,30,,,,,,,,,,,,,,0.8943,0.864,0.9813,0.8456,0.8187,0.9516,0.8075,0.9239,0.8379,0.9855,,,0.8756,1.0008,0.9331,1.0354,0.9459,0.8638,0.8624,0.8254,0.9732,0.8123,,,0.8012,0.9231,0.9368,0.8833,0.8298,0.8342,0.9125,0.3024,0.8416,0.8655,,,0.9643,1.0668,0.8553,0.8256,0.9003,0.9475,0.886,0.8768,0.752,0.2875,,,0.8679,0.2243,0.8728,0.9118,0.7493,0.9046,0.8922,0.1465,0.2121,0.9353,,,0.9924,0.9817,0.859,0.1536,0.1059,0.0968,0.0992,0.0963,0.0956,0.1124,,,,,,,,,,,,,
27591.575,30.1,,,,,,,,,,,,,,0.9425,0.913,1.022,0.8919,0.8615,0.9896,0.8518,0.9673,0.8862,1.0256,,,0.9231,1.0398,0.9756,1.076,0.9918,0.914,0.9066,0.874,1.0149,0.8615,,,0.8451,0.968,0.9797,0.9279,0.8768,0.8814,0.9575,0.3215,0.8919,0.909,,,1.0069,1.1098,0.9029,0.8743,0.9469,0.9897,0.9318,0.9219,0.7959,0.3048,,,0.914,0.235,0.9202,0.9544,0.7956,0.9482,0.9346,0.1512,0.2227,0.9802,,,1.038,1.0326,0.9108,0.1591,0.1058,0.0973,0.0987,0.0996,0.0966,0.106,,,,,,,,,,,,,
28791.502,30,,,,,,,,,,,,,,0.9888,0.9607,1.0635,0.9368,0.9061,1.031,0.9005,1.0077,0.9307,1.0648,,,0.9688,1.0824,1.0157,1.1153,1.0416,0.9569,0.9488,0.9184,1.0573,0.907,,,0.885,1.0119,1.0197,0.9719,0.9259,0.925,1.0016,0.3417,0.9354,0.9504,,,1.0487,1.1485,0.9499,0.92,0.9896,1.0305,0.9733,0.9675,0.837,0.3225,,,0.9531,0.2471,0.9695,0.9966,0.8376,0.9891,0.9789,0.1556,0.2336,1.0194,,,1.0787,1.0804,0.9577,0.1644,0.1067,0.0982,0.0985,0.0971,0.0977,0.1134,,,,,,,,,,,,,
29991.412,30,,,,,,,,,,,,,,1.0324,1.0034,1.1061,0.9777,0.9483,1.0696,0.9444,1.0452,0.9756,1.1036,,,1.0139,1.1202,1.0566,1.1511,1.0917,0.9996,0.9892,0.9615,1.0976,0.9506,,,0.9244,1.0539,1.0607,1.0133,0.9683,0.9692,1.0432,0.3626,0.9787,0.9902,,,1.0896,1.1901,0.9932,0.9627,1.0329,1.0717,1.0145,1.0068,0.8785,0.3422,,,0.9981,0.2598,1.0111,1.0365,0.8786,1.0249,1.0188,0.1595,0.245,1.0579,,,1.1204,1.1245,1.0039,0.169,0.1061,0.0982,0.0989,0.0973,0.0968,0.1029,,,,,,,,,,,,,
31191.343,30,,,,,,,,,,,,,,1.0745,1.0456,1.1453,1.0188,0.9851,1.1054,0.9907,1.0833,1.0177,1.1391,,,1.0545,1.1577,1.0936,1.188,1.1363,1.0426,1.0293,1.0044,1.1342,0.9943,,,0.9626,1.0921,1.0979,1.0539,1.0116,1.011,1.0815,0.3842,1.0205,1.028,,,1.1272,1.2271,1.0346,1.0047,1.072,1.1065,1.053,1.0469,0.9178,0.3614,,,1.033,0.2714,1.0495,1.0769,0.9163,1.0628,1.0558,0.1637,0.2554,1.0919,,,1.1561,1.1621,1.0422,0.1713,0.1045,0.0957,0.0981,0.0961,0.0956,0.102,,,,,,,,,,,,,
32391.282,30,,,,,,,,,,,,,,1.1124,1.0866,1.1823,1.0577,1.0212,1.1428,1.0316,1.1214,1.0567,1.1769,,,1.0945,1.1935,1.1279,1.2216,1.1787,1.0827,1.0658,1.0465,1.1706,1.0343,,,1.0017,1.1309,1.1364,1.0908,1.0551,1.0536,1.1214,0.408,1.0605,1.067,,,1.1625,1.263,1.0747,1.0459,1.109,1.145,1.0876,1.0857,0.9575,0.3838,,,1.0732,0.2847,1.0901,1.1137,0.9528,1.0983,1.0919,0.1691,0.2677,1.1292,,,1.1911,1.2025,1.0851,0.1768,0.1049,0.0961,0.097,0.0959,0.095,0.1115,,,,,,,,,,,,,
