timepoints,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15
three,0.82085728,0.808918612,0.779091392,0.774169709,0.803969161,0.741828057,0.760920259,0.596079042,0.660743553,0.599219497,0.615411705,0.563646685,0.62957966,0.556570531,0.613785519,0.636002818,0.726968625,0.777158478,0.808240733,0.763042617,0.77419078,0.775406017,0.812133699,0.813147984,0.827385853,0.846579375,0.84554478,0.843866524,0.851634604,0.848090875
five,0.877060385,0.803772452,0.83674529,0.784727103,0.760558367,0.803140867,0.741140307,0.733035296,0.665406819,0.657149587,0.695051025,0.651925895,0.709779541,0.695572785,0.78197136,0.800024299,0.868387395,0.806988616,0.884040422,0.860449672,0.907505353,0.863697107,0.886459017,0.913810085,0.907016727,0.911146398,0.942529863,0.938361514,0.942334896,0.947665119
eight,0.761972572,0.788002777,0.729072118,0.764384831,0.72318976,0.711683998,0.747292389,0.682620225,0.661452297,0.6027523,0.661044027,0.576488902,0.681694785,0.625855185,0.659809472,0.764851776,0.762757971,0.800466915,0.843147911,0.807746481,0.839462118,0.863495427,0.837832969,0.863089137,0.858211695,0.848365888,0.869245048,0.877054039,0.868358446,0.87640675
nine,0.794141453,0.769932237,0.785330929,0.786978573,0.728733528,0.776319101,0.70553749,0.735659379,0.699810151,0.733294293,0.702617301,0.66622623,0.643596473,0.747777037,0.716741196,0.74726017,0.745265059,0.818048884,0.812273524,0.885341094,0.833773233,0.864282952,0.894908962,0.877060811,0.879583481,0.881264397,0.872638273,0.865087475,0.861808715,0.863306513
eleven,0.866874161,0.850295066,0.842002611,0.848228902,0.846533746,0.842859236,0.834577377,0.61530889,0.676082174,0.617870506,0.587829644,0.628297722,0.647529606,0.554228969,0.624259464,0.635589143,0.72040476,0.802352089,0.812009428,0.80509819,0.89253884,0.875072057,0.858577825,0.88114155,0.866930865,0.870398132,0.822870178,0.841788642,0.856636762,0.845523522
fourteen,0.92120014,0.850935339,0.876022051,0.848340962,0.825943222,0.830230192,0.826618097,0.655824355,0.675414529,0.6222421,0.718079323,0.667175436,0.608297194,0.669138291,0.718320447,0.716541746,0.800156577,0.869395167,0.872258003,0.828190871,0.88721045,0.8675164,0.876285886,0.921776788,0.89801525,0.910350285,0.919807788,0.909216357,0.904113414,0.883157805
fifteen,0.860682878,0.861650778,0.849643241,0.808582892,0.793636429,0.801371632,0.801056451,0.64923512,0.746228043,0.696556609,0.703282103,0.651628548,0.712559837,0.684405009,0.612295245,0.669330438,0.693622352,0.762913716,0.788060565,0.856269486,0.871224449,0.90307244,0.935695824,0.904985388,0.936278932,0.858449501,0.843124948,0.831531472,0.838595175,0.845745596
twenty,0.965748204,0.939431055,0.943631103,0.92863753,0.891727698,0.915791132,0.859116395,0.831978014,0.811307152,0.826737601,0.738279062,0.79519493,0.813459484,0.690236426,0.725051695,0.673862736,0.752244561,0.71912963,0.84160325,0.78884843,0.836885335,0.833098318,0.86910123,0.853991169,0.87869035,0.867558066,0.871609913,0.858618021,0.882127705,0.899207924
twentyseven,0.80146711,0.826773547,0.803208042,0.752501917,0.739837997,0.73684454,0.708102206,0.701270229,0.69668923,0.695252415,0.666685171,0.675261495,0.629586483,0.599804285,0.682236921,0.662300554,0.750554846,0.684473177,0.77136502,0.777768943,0.80790854,0.78314606,0.781684136,0.786986913,0.826141999,0.867444913,0.889516784,0.88473163,0.882401705,0.892603782
twentynine,1.001274438,1.006130739,0.950813719,0.886159238,0.972734477,0.907475429,0.903650269,0.985864732,0.97414395,0.680967849,0.742360255,0.536248839,0.828940864,0.713067447,0.788537492,0.835730458,0.786949829,0.855567494,0.684389826,0.874853606,0.855438841,0.755155324,0.780756011,0.807847468,0.850853656,0.886447645,0.88753292,0.886149539,0.928530446,0.926565405
twentyfour,0.821245294,0.830029807,0.817718014,0.841958087,0.815361775,0.795392162,0.777146412,0.786530343,0.753452621,0.716545861,0.669277427,0.70849592,0.658982136,0.605722234,0.670411786,0.612542651,0.687168868,0.669235539,0.704794855,0.712576838,0.723865518,0.751906354,0.768420941,0.814851519,0.80299342,0.79449379,0.820132336,0.827620268,0.822485976,0.827390831
original,0.955520425,0.993586618,0.999251524,0.893207744,0.862959781,0.855574611,0.81858993,0.778541464,0.827367002,0.792506113,0.790446037,0.806724033,0.725601222,0.791628501,0.725071073,0.803536086,0.822756133,0.873076857,0.837130721,0.867925196,0.88852411,0.889112412,0.910841816,0.912389872,0.916641116,0.904284881,0.921931637,0.931966757,0.882395168,0.883435838
