Row,Col,Strain,Dose
1,1,0,0
2,1,0,0
3,1,204.2,40
4,1,534.2,40
5,1,0,0
6,1,534.1,40
7,1,534.2,40
8,1,0,0
1,2,223.2,2
2,2,228.1,4
3,2,228.3,40
4,2,204.3,40
5,2,0,0
6,2,0,0
7,2,0,0
8,2,0,0
1,3,223.3,2
2,3,133.2,4
3,3,133.1,40
4,3,223.1,40
5,3,223.3,2
6,3,228.2,40
7,3,204.3,40
8,3,0,0
1,4,534.3,2
2,4,534.1,4
3,4,534.2,4
4,4,133.3,40
5,4,534.3,2
6,4,204.2,40
7,4,223.1,40
8,4,0,0
1,5,204.1,2
2,5,228.2,4
3,5,204.3,4
4,5,223.2,40
5,5,204.1,2
6,5,228.3,40
7,5,133.3,40
8,5,0,0
1,6,228.1,2
2,6,204.2,4
3,6,223.1,4
4,6,223.3,40
5,6,228.1,2
6,6,133.1,40
7,6,223.2,40
8,6,0,0
1,7,133.2,2
2,7,228.3,4
3,7,0,0
4,7,534.3,40
5,7,133.2,2
6,7,0,0
7,7,0,0
8,7,0,0
1,8,534.1,2
2,8,133.1,4
3,8,133.3,4
4,8,204.1,40
5,8,534.1,2
6,8,534.2,2
7,8,223.3,40
8,8,0,0
1,9,228.2,2
2,9,534.2,2
3,9,223.2,4
4,9,228.1,40
5,9,228.2,2
6,9,204.3,2
7,9,534.3,40
8,9,0,0
1,10,204.2,2
2,10,204.3,2
3,10,223.3,4
4,10,133.2,40
5,10,204.2,2
6,10,223.1,2
7,10,204.1,40
8,10,0,0
1,11,228.3,2
2,11,223.1,2
3,11,534.3,4
4,11,534.1,40
5,11,228.3,2
6,11,133.3,2
7,11,228.1,40
8,11,0,0
1,12,133.1,2
2,12,133.3,2
3,12,204.1,4
4,12,228.2,40
5,12,133.1,2
6,12,223.2,2
7,12,133.2,40
8,12,0,0
